dataset,variable,storage_type,stata_variable_label,definition,nonmissing_count,missing_count,unique_nonmissing,value_label_mappings_in_dataset,manuscript_definition,manuscript_source,documentation_status
spatial_adjacency_source.dta,a169,int8,a169,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a170,int8,a170,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a171,int8,a171,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a172,int8,a172,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a173,int8,a173,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a174,int8,a174,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a175,int8,a175,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a176,int8,a176,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a177,int8,a177,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a178,int8,a178,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a179,int8,a179,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a180,int8,a180,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a181,int8,a181,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a182,int8,a182,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a183,int8,a183,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a184,int8,a184,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a185,int8,a185,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a186,int8,a186,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a187,int8,a187,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a188,int8,a188,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a189,int8,a189,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a190,int8,a190,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a191,int8,a191,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a192,int8,a192,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a193,int8,a193,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a194,int8,a194,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a195,int8,a195,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a196,int8,a196,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a197,int8,a197,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a198,int8,a198,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a199,int8,a199,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a200,int8,a200,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a201,int8,a201,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a202,int8,a202,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a203,int8,a203,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a204,int8,a204,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a205,int8,a205,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a206,int8,a206,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a207,int8,a207,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a208,int8,a208,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a209,int8,a209,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a210,int8,a210,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a211,int8,a211,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a212,int8,a212,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a213,int8,a213,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a214,int8,a214,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a215,int8,a215,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a216,int8,a216,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a217,int8,a217,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a218,int8,a218,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a219,int8,a219,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a220,int8,a220,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a221,int8,a221,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a222,int8,a222,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a223,int8,a223,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a224,int8,a224,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a225,int8,a225,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a226,int8,a226,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a227,int8,a227,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a228,int8,a228,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a229,int8,a229,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a230,int8,a230,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a231,int8,a231,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a232,int8,a232,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a233,int8,a233,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a234,int8,a234,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a235,int8,a235,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a236,int8,a236,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a237,int8,a237,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a238,int8,a238,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a239,int8,a239,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a240,int8,a240,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a241,int8,a241,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a242,int8,a242,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a243,int8,a243,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a244,int8,a244,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a245,int8,a245,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a246,int8,a246,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a247,int8,a247,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a248,int8,a248,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a249,int8,a249,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a250,int8,a250,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a251,int8,a251,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a252,int8,a252,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a253,int8,a253,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a254,int8,a254,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a255,int8,a255,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a256,int8,a256,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a257,int8,a257,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a258,int8,a258,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a259,int8,a259,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a260,int8,a260,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a261,int8,a261,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a262,int8,a262,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a263,int8,a263,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a264,int8,a264,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a265,int8,a265,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a266,int8,a266,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a267,int8,a267,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a268,int8,a268,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a269,int8,a269,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a270,int8,a270,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a271,int8,a271,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a272,int8,a272,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a273,int8,a273,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a274,int8,a274,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a275,int8,a275,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a276,int8,a276,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a277,int8,a277,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a278,int8,a278,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a279,int8,a279,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a280,int8,a280,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a281,int8,a281,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a282,int8,a282,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a283,int8,a283,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_source.dta,a284,int8,a284,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a1,float32,a1,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a2,float32,a2,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a3,float32,a3,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a4,float32,a4,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a5,float32,a5,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a6,float32,a6,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a7,float32,a7,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a8,float32,a8,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a9,float32,a9,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a10,float32,a10,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a11,float32,a11,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a12,float32,a12,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a13,float32,a13,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a14,float32,a14,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a15,float32,a15,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a16,float32,a16,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a17,float32,a17,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a18,float32,a18,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a19,float32,a19,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a20,float32,a20,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a21,float32,a21,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a22,float32,a22,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a23,float32,a23,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a24,float32,a24,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a25,float32,a25,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a26,float32,a26,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a27,float32,a27,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a28,float32,a28,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a29,float32,a29,Adjacency entry for the matrix column identified by this variable name.,284,0,7,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a30,float32,a30,Adjacency entry for the matrix column identified by this variable name.,284,0,7,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a31,float32,a31,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a32,float32,a32,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a33,float32,a33,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a34,float32,a34,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a35,float32,a35,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a36,float32,a36,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a37,float32,a37,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a38,float32,a38,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a39,float32,a39,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a40,float32,a40,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a41,float32,a41,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a42,float32,a42,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a43,float32,a43,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a44,float32,a44,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a45,float32,a45,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a46,float32,a46,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a47,float32,a47,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a48,float32,a48,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a49,float32,a49,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a50,float32,a50,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a51,float32,a51,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a52,float32,a52,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a53,float32,a53,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a54,float32,a54,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a55,float32,a55,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a56,float32,a56,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a57,float32,a57,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a58,float32,a58,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a59,float32,a59,Adjacency entry for the matrix column identified by this variable name.,284,0,2,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a60,float32,a60,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a61,float32,a61,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a62,float32,a62,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a63,float32,a63,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a64,float32,a64,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a65,float32,a65,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a66,float32,a66,Adjacency entry for the matrix column identified by this variable name.,284,0,4,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a67,float32,a67,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a68,float32,a68,Adjacency entry for the matrix column identified by this variable name.,284,0,3,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a69,float32,a69,Adjacency entry for the matrix column identified by this variable name.,284,0,6,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a70,float32,a70,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
spatial_adjacency_weights.dta,a71,float32,a71,Adjacency entry for the matrix column identified by this variable name.,284,0,5,,,,Matrix element; row/column ordering remains to be verified.
